Item Name,Description
Watarimono,A blade made from iron stuck in firm dark oak. The raw power of each strike compensates for the blunt edge.
Kiritsukeru,A heavy iron blade set in a handle crafted from tough wood from the eastern tundras. Each slash carries immense amounts of force.
Reinforced Root Armor,A breastplate crafted from sturdy plantlife and shards of iron. The plants seem to react when hit heavily.
Traveler's Trinket,A handy compass that reminds travelers of the homes they will someday return to.
The Phylactery,"I was a fool before, but now everything is so clear. The phylactery speaks to me, knows me, protects me."
Soul of the Bearer,All shall know my power. Not even the Mad God can stop me.
Soulless Robe,"…finally, I cornered and killed the beast. When I awoke in a cold sweat…I felt youthful, powerful."
Ring of the Covetous Heart,As I lifted the stone from its resting place it became readily apparent there was more to it than met the eye…
Mister Mango,Displaying this malformed mango in public is said to awaken the rage of a long-dormant entity from beyond.
Butter Bow,"Crispy, buttered, wheat or rye. In toast it lives, in toast it dies."
K.I.D.D. Force,"A highly unstable staff engineered to expel forceful bolts of an energy component known as K.I.D.D. (Knee-deep In Dungeon Design). It’s not great now, but allegedly the second version will be better."
Caduceus of Current Craziness,"The harbinger of past pandemonium, current craziness, and future fatuity. It just can’t seem to stay focused."
MMace MMurderer,A heavy mace that abides only by the power of repetition.
Blade of Ages,"A katana once belonging to a royal sorcerer known for great ambition, but slow delivery. His treasured blade was prophesied to produce something wonderful… eventually."
Groovy Mango,"After years of tinkering with the algorithms, Null created a deadlier replica of Mister Mango to create the Groovy Mango. This jamming mango was given the time to sweeten and ripen into a groovy party rocking entity."
Baked Bow,"After years of tinkering with the algorithms, Null created a deadlier replica of the Butter Bow to create the Baked Bow. This bow showcases the power of butter, enjoy these tasty baked treats."
Caduceus Of Enlightened Chaos,"After years of tinkering with the algorithms, Null created a deadlier replica of the Caduceus of Current Craziness to create the Caduceus Of Enlightened Chaos. Using this wand allows the user to reach their full chaotic potential and understand their role in battle; be unpredictable and let someone else deal with it."
K.I.D.D. Force 2.0,"After years of tinkering with the algorithms, Null created a deadlier replica of the K.I.D.D. Force to create the K.I.D.D. Force 2.0. Upgraded with even less shades, this staff has really come around."
FFabulous FFlail,"After years of tinkering with the algorithms, Null created a deadlier replica of the MMace MMurderer to create the FFabulous FFlail. A MMace that can be MMasterfully FFlung, FFrequently FFlying FFabulously albeit with slight miscalculations"
Blade of Blooming,"After years of tinkering with the algorithms, Null created a deadlier replica of the Blade of Ages to create the Blade of Blooming. Nature would slowly takeover this blade blooming with beautiful roses."
Mirror Cloak,"A brilliant cloak that utilizes the complex process of light reflection to perfectly conceal its user by creating an exact replica, mimicking the wearer."
Archerang,A quiver once treasured by a highly sentimental archer who just couldn’t bear to part with her arrows forever. They’ve become rather dull after so much recycling.
Spelling Spell,"An instructional spell used as an education tool for the training of young wizards. Before they run, they must learn to talk."
Tome of Moral Support,"The deepest wounds are not physical, but psychological. Only the wisest healers are savvy enough to apply the advanced treatment this tome enables, guaranteed to revitalize allies in their times of need."
Challenger Helm,"It’s not easy being the best. Some wish for more, a way to inflict difficulties on themselves so that they may once again experience what it’s like to not be insultingly overpowered. At last, there is a way."
Shield of Pogmur,"As the heavy armor worn by most knights typically conceals their faces with a stoic expression, they require other ways to convey emotions of shock or excitement."
Seal of Eternal Life,"The fruit of over a decade of research, this blessed seal at long last overcomes all limitations on its usage and never allows its user to run out of strength. A slight concession had to be made by devoting one hundred percent of its magic resources back into magic."
Lightning in a Bottle,"A misguided attempt by Xolotl to grant a form of his power to followers among the Secluded Thicket, with the glaring weakness that it can only be utilized in large, open areas with direct access to the clouds."
Epiphany Skull,"The skull of an enlightened philosopher who understood the true potential of necromancers to be summoners. Tragically, his overwhelmingly high IQ got the best of him."
Helium Trap,"A devastating trap with some major hang time. It’s full of hot air and not actually that useful, which is surely a metaphor for something."
Karma Orb,What goes around comes around.
Fool's Prism,"All that glitters is not gold. Beware, tricksters who choose this dastardly prism must be committed to their cruel prank."
Honey Scepter Supreme,"After years of the truth being rejected by the masses, this version of the fabled Honey Scepter is automatically enhanced with the full potential it had all along."
Unshuriken,"A star with high potential, but curses the user with a crippling lack of decisiveness."
NSFWakizashi,A double-edged wakizashi that exposes in more ways than one.
Lullaby,"A soothing crescent-shaped instrument known to relax one’s body and mind when played, lowering their guard and making onesself drowsy. Only its player can hear the quiet melodies, sure to have them counting sheep in no time."
Recursion Mace,A self-obsessed summoner’s failed attempt at creating infinite armies.
Paper Machete,"An advanced flight test disguised as an arts and craft project, or so its inventor continues to believe."
Cheater Light Armor,Only cheaters wear this armor.
Cheater Robe,Only cheaters wear this robe.
Cheater Heavy Armor,Only cheaters wear this armor.
Omni-Impotence Ring,An unfathomable lack of strength is found in this ring. Only the most unreasonable mortals would ever consider voluntarily handicapping themselves so aggressively.
Brilliance Bow,A revered bow hidden away for many years by those wise enough to recognize the danger of its devestating might. Its strength is unmatched throughout the universe.
Quintessential Quiver,Royal alchemy techniques have enabled this quiver to sharpen the gilded tips held within. Arrows loosed from the case are recognized as some of the sharpest objects known to man.
Luxurious Leather,An illustrious lineage of acclaimed bowmen have passed down this famed attire. It boasts such immense defensive powers that its wearer is considered invincible.
Regal Ring,A legendary citrine ring said to grant unfathomable amounts of dexterity to those who possess it.
Toaster Pet Skin,
Sun's Judgement,The abnormal alignment of Malogia’s moons block direct light from its sun during most of its revolution. The brief periods of visiblity are ferociously hot. Sprite Credits: Artauris
Fire Blade,"Though rather unremarkable as far as alien weapons go, Malogian clans swear by this weapon as a good luck charm. Some things never change."
Comet of Calamity,An irregular fragment of a fiery comet that once passed over Malogia. Intergalatic legends know it as the herald of the great alien lord Nizos. Sprite Credits: Trensient
Foramite Staff,"A rod composed of solid foramite, the only known material in the galaxy capable of withstanding the corrosive effects of Foraxian acid. Sprite Credits: Aurum"
Acidic Slasher,"Steeped in the acid rainwater of Forax, the chemical coating has transformed this already mighty blade into a heavy-hitting weapon of war. Sprite Credits: Aurum"
Corrosion Cutter,"Interestingly, freezing the acid of Forax into a solid material retains its burning properties. Crafty alien mercenaries have used this to create brutal assassination weapons such as this. Sprite Credits: Aurum"
Warlord Wand,"An accomplished alien conquerer brandished this wand as a show of might, topping it with a gemstone from each planet he overthrew. Sprite Credits: Aurum"
Gaseous Glaive,"One of the most unusual feats of Katalonian engineering. This barely tangible sword hurls puffs of toxic gas, if you can manage to firmly grasp it. Sprite Credits: Aurum"
Blazon Bow,A stunning bow forged in the heat of a massive star many lightyears beyond the realm.
Moonbeam Blade,The frigid landscape of Untaris is chilled by the moonlight reflected from a planet of astral frost. Sprite Credits: Trensient
Dueling Daggers,A set of daggers given partial sentience by alien technology. They fiercely compete to claim more kills than the other. Sprite Credits: Aurum
Snowblind Wand,A wand held together by an ice crystal extracted from the depths of Untaris. Each shot possesses the concentrated force of a blizzard. Sprite Credits: Aurum
Alien Core Warp,This mysterious device analyses and improves the gear worn by its wielder. Sprite Credits: Aurum
Alien Core Dark Matter,This mysterious device analyses and improves the gear worn by its wielder. Sprite Credits: Aurum
Alien Core Power,This mysterious device analyses and improves the gear worn by its wielder. Sprite Credits: Aurum
Alien Core Corrosion,This mysterious device analyses and improves the gear worn by its wielder. Sprite Credits: Aurum
Piper's Pan Flute,A peculiar instrument used by rat hunters of yore to lure rodents to their demise.
Mouse Trap,"A conventional tool used by rat hunters to snare rodents. Although simple, it proves to be timelessly effective."
Mystic Syndicate Attire,A magical robe worn by members of the Syndicate. A potent charge of otherworldly energy surges through the fabric.
Heavy Syndicate Attire,A magical heavy armor worn by members of the Syndicate. A potent charge of otherworldly energy surges through the seams.
Light Syndicate Attire,A magical leather armor worn by members of the Syndicate. A potent charge of otherworldly energy surges through the seams.
Sunken Fire Opal Ring,"Lost in a battle over the open seas, this magnificent fire opal studded ring that buzzes with an unyielding power."
Faded Heart Scarab,"A once prized piece of Nefret’s collection. Though it’s beauty has long since faded, it has retained its power"
Fractured Hannya,"An ancient relic of the Oni clan, bursting with an energy like none other."
Storied Blades,"Once nameless tools of an oni warrior, these blades have witnessed the bloodshed of a thousand lives lost to Oryx. They carry the whispers of a long-sought vengeance against the Exalted One."
Forbidden Artifact,"A depraved aura of malignance exudes from this relic. Once protected within the great tombs of the desert, Nefret unearthed this treasure to prevent it and many others from falling into the hands of the Legion."
Sheath of Thunderous Rites,This sacred blade may be unsheathed in the blink of an eye to produce a catastrophic blast of lightning. Such a tool is used by Izel to bring fervor and great respect to the many gods of the thicket.
Storm Caller,A brooding scepter used to protect a recluse tribe of lightning worshipers from outsiders.
Corsair's Crown Jewel,"This brilliant diamond exhibits a peculiar agitation to exposure beyond the waters. It was plundered by the Pirate Queen herself from depths far deeper than the open seas, as it was believed to be the boon of an ancient oceanic deity."
Rusted Barrel,A rusty barrel once used for transporting a revolting toxin across the seas. One spilled drop is enough to cause a crew to jump ship with no regard for their own lives.
Royal Sekhem,"A flat gold blade set atop a wooden handle, wielded by Pharaohs that will one day ascend to divinity."
Frangible Longbow,"Fractures run all along the limbs of this bow, which is momentarily shattered every time it is fired. A powerful magic reforms the bow immediately after each shot."
Gilded Chain Scythe,The blade of this weapon is plated with gold acting as a symbol of status among the eastern warriors that wield it. Its usage requires immense skill as an untrained user will put themselves at more risk than their opponent.
Ritual Khopesh,Traditionally used as a versatile weapon of war by the armies of the desert empires. This pair was used for ritual duels between opposing noble factions where nobles would send forth their best warriors to settle disputes.
Pirate's Sidearms,"Cutlass daggers, often used as a backup weapon when compared to a full sized blade, when dual wielded however a skilled captain can turn them into an unbeatable pair."
Obsidian Macuahuitl,A brutal club teethed with obsidian blades crafted by the jungle tribes. The somewhat crude appearance masks and incredibly deadly weapon.
Unstable Anomaly,An odd energy source known for the amazing ability to fire hats.
Lethargic Sentience,"Created by a lonely Sorcerer. This sentient eye doesn’t make a very good friend. It does, however, make fruit."
Toy Knife,This was all the rage a few Winter Solstices ago.
Barely Attuned Magic Thingy,Made by a pretty lazy wizard. Hope it makes something worthwhile.
Precisely Calibrated Stringstick,Meow! Meow meow meow! MEOWMEOWMEOW.
Random Spell Extraction Device,This strange weapon sometimes affects the size of surrounding creatures.
Krathana,Omae wa…
Silex's Hammer,"When you have this hammer, you don’t need a reason to use it."
Mimicry Trap,A crystal trap with a built-in luring mechanism. The perimeter of the trap reflects light toward the center to create an illusionary mimic.
Arctic Bow,"A bow, fashioned from solid ice, enchanted not to melt. It’s often used by elven hunters of the arctic wastes. Sprite Credits: Poshun"
Freezing Quiver,"Corrupted by creatures of the frost realms, its arrows will slacken assailants promptly."
Frimarra,It’s said that this necklace was created to protect the mortal lover of an old God.
Enchanted Ice Shard,The ice this item is made of doesn’t seem to melt.
Ring of the Northern Light,A mysterious light emanates from the stone.
Tome of Frigid Protection,"A tome that allows the caster to encase themselves in extremely durable ice. However, despite being nearly impenetrable, it will melt after a while. Sprite Credits: Poshun"
Ice Crown,"An ancient artifact, once worn by a corrupt king of the frost realms. Sprite Credits: Poshun"
Candy Katana,"Candy canes, candy canes, lick them in a spear and kill your enemies!"
Sleigh Bell Staff,All who stand against the merry melodies of the holiday season will be jingle bell ROCKED.
Garland Bow,"Great for stringing along doors, railings, or the nock of an arrow before releasing."
Evergreen Dagger,"Trim up the tree with Oryxmas stuff, like mistletoe and big cream puffs!"
Brass Chamberstick,The hot wax of this candle burns with the judgement of those who lack a giving spirit.
Cheerful Chipper,"This festive axe is meant to chop wood for a cozy winter fireplace, but it could probably handle your enemies in combat too."
Snow Branch,A staff created from a tree covered in snow. It spreads cold wherever it strikes.
Snowflake Blade,A katana created from eternal frost. It can break through ice with a single hit.
Frost Storm Bow,A bow forged from a frozen tempest. Each fired arrow becomes a shard of winter itself.
Enchanted Ice Blade,"A lightweight blade, imbued with frosty runes. Sprite Credits: Poshun"
Frozen Wand,"From the realms of frost, this wand’s ice magic penetrates even the strongest armor."
Splatter-proof Apron,"A superior apron crafted from turkey hide, perfect for the culinary warrior who fears no grease splatter!"
Chicken Leg of Doom,A chicken leg of doom.
Anatis Staff,A staff that channels the ultimate force of Anatis.
Apocalypse Feather,A relic from an age when evil chickens had taken over the realm. Their tyranny ended eventually at the hands of an exceptional wielder of the dirk.
Mantle of the Monarchy (Rehearsal),"The lavish robes of the kingdom’s royalty, outfitted with pauldrons on both shoulders for a more distinguished appearance. A sinister presence remains channeled through the draping fabric."
The Forgotten Ring (Rehearsal),
Royal Guard's Cuirass (Rehearsal),"Armor of the bridge sentinel, adorned with honors which now serve only as a bitter reminder of what once was."
Valor (Rehearsal),"Exceedingly large and challenging to handle, this titanic blade embodies the stoic might of its true owner."
Vanguard's Visage (Rehearsal),"A dreadfully heavy barbute, prominently featuring inward curving horns. Such a trait has been considered taboo for eons, further marking the age of this design."
Sentinel's Sidearm (Rehearsal),"Use of magical weapons is typically reserved for the king’s mage units. For a swordsman to receive such a fine piece of craft was considered a great honor, and perhaps still is."
Bracer of the Guardian (Rehearsal),"A colossal gauntlet of masterful composition. Its sheer size is disproportionate for most warriors, only able to be worn on one’s forearm as a bracer. A once glossy exterior faded from battle long ago, yet the sturdiness of its make is as resolute as it ever was."
Vest of Abandoned Shadows (Rehearsal),"Formerly a nobleman’s uniform, now workshopped by the court magician into a gloomy coat befitting of his accursed company."
Warmonger (Rehearsal),"Rarely brandished and in pristine condition, the old monarchy deemed this exquisite recurve too dignified for all but royalty to handle. Though it remains unproven in practical combat, this bow’s raw potential is unmatched, waiting to be drawn out through pure focus."
Peacekeeper (Rehearsal),"A veritable artifact from the forgotten splendor of a kingdom none wish to remember. No matter the craftsmanship of its gilded design, this unwelcome sight is now only a sobering reminder of a mistake without regret."
Noble Mandolin (Rehearsal),"Endless melodies from this fine instrument once filled the halls of the castle. It is without any apparent wear, yet even the most upbeat tune sounds somber when it is played."
The Forgotten Crown (Rehearsal),An eerie reminder of what lays in the depths of the Shatters.
The Twilight Gemstone (Rehearsal),"A peculiar stone, tremendously heavy for its size and seemingly not of this world. Its very presence in the realm raises a great deal more questions than answers, yet the uncanny energy it emanates provides only one haunting clue."
Polarity Poison (Rehearsal),"A perfectly concentrated blend of elemental forces, primed to diverge into an explosive result if the seal is ever broken. This flawless balance is believed to be the key to a still greater power."
Primal Arcana (Rehearsal),"This deeply profaned magitech haunts those who bear it with distant, unending screams. One’s conscience must be far beyond all reason to use its tremendous and varied powers without vacillation."
Dusky Catalyst (Rehearsal),"An untempered casting wand brought forth to tap into distant powers, but an imbalance rendered it too unreliable for most to dare use."
Esoteric Buckler,A shield from a place beyond the gates of war and peace.
Corrupted Cleaver,This blade is drenched in the blood of heroes. Are you sure this blade is meant for you?
Bow of Nightmares,You can hear the screams of tortured souls as you draw this bow.
Staff of Horrific Knowledge,It seems to dispense special runes upon use. Perhaps…some things are better left unknown.
Wand of Ancient Terror,This wand has been used countless times to raise Lord Ruthven from the dead.
Dagger of the Terrible Talon,"A claw-shard from Feargus, the Obsidian Dragon."
Skull-Splitter Sword,An unfathomably powerful sword that absorbs the skulls of enemies and unleashes them with magical energy.
Heartfind Dagger,This dagger is said to point in the direction of the one you love. Or intend to stab. Sprite Credits: ngbro
Wand of Budding Romance,"Harnessing the unusual power of Belladonna’s flowers, these shots are beautiful but deadly!"
Cupid's Bow,"This probably doesn’t have a chance of making monsters fall in love with you. I mean, I don’t think so."
Vinesword,Strung together with the deadly vines of Belladonna. Sprite Credits: nooblegend
Staff of Adoration,"The unusual shots that this staff fires have been known to bind the hearts of your foes for all eternity, or at least until death do you part."
Diamond-Bladed Katana,"Diamonds are a girl’s best friend, they also happen to make for great blades… so shiny!"
Heart Jewel Blades,"Jewel encursted blades, these weapons hold a special power to those that fight for love."
Morning Star of Sweet Miracles,"Containing the power of pure heart and innocence, this morning star seeks to return compassion to the corrupted."
Anteros Longbow,Wielding this bow leads the user to become a defender of love. Helping people that are without love and smiting anyone that seeks to harm where love shines.
Lovestruck Yoyo,Every swing from this leaves enemies becoming less and less aggressive thanks to this toys magical properties (and being hit in the head multiple times).
Love Heart Spellblade,"Bestowed to trusted allies of the Love Hearts Guild, this spellblade conquers evil heart-breakers with the power of positive emotions."
Sweetheart Taichi,"Formerly wielded by lovers, their battle would end defending their home in the far lands of realms. Both lovers are gone, but their blades remain and will never apart."
Quiver of Dazing Love,It truly is dazzling when you put your heart into the work! Sprite Credits: WunderWafe
Heartstruck Bow,"Some people wear their heart on their sleeve, I chose to use mine as ammunition! Sprite Credits: WunderWafe"
Cupid's Garments,Who said diapers couldn’t be fashionable? Sprite Credits: WunderWafe
Ring of Unbound Love,My heart couldn’t be anymore full! Sprite Credits: WunderWafe
Heartseeker Katana,A lovely katana made for those who fight with passion and seek true love.
Eternal Star,A delicately engraved gem that captures the light of timeless love.
Chocolate Armor,"A sweet and protective armor, crafted from rich chocolate, made for those who cherish the spirit of Valentine’s Day."
Sweetener Ring,"A beautifully crafted ring shaped like a heart, symbolizing the sweetness of love."
Ever Green Skull,"This skull was left behind, infused within the bed of flowers in the floral realms. Now fully bloomed and ready for battle, capable of aiding it’s flower friends."
Floral Corset,"Weaved together by strong petals, it’s able to hold together tight due to the petals age thanks to Belladonna’s extensive care for flowers."
Lovebite Armor,"A strong armor made from layers of rich cake and cream, offering both protection and a tasty, comforting spirit."
Sweetcut Wakizashi,"A wakizashi with a unique edge, crafted to release a burst of sugary energy. Perfect for those who wield both sweetness and strength."
Spring Rose,"The first roses to shine in the spring are given the most attention and treatment, thanks to this they’re gifted with magical properties causing them to grow even stronger, many seek out these early blooming roses for their power."
Rose Brooch,"Beautiful yet dangerous, only those who value the lives of flowers can carry such a rose. This rose retaliates back with sharp thorns to anyone that seeks to harm this rose or its user."
Elderfrost Heirloom,"This ring is not crafted, but a fossilized piece of the great frost mountains the Jotunn call home."
Frozen Whisper,Forged from the petrified spine of an Ice Troll and strung with the sinew of a frozen behemoth.
Winter's Dire Kiss,"A giant’s blade, too heavy and crudely shaped for human hands, yet it moves with terrifying speed when wielded by the truly dedicated. Crafted from pure, hyper condensed glacial ice, its swings leave behind a trail of super cooled air."
Icebreaker Maul,"Crude, massive, and overwhelmingly powerful, this great club is the preferred weapon of the true Jotunn enforcers."
Frostfall Rod,"Carved from the horn of a fallen Ice Titan and polished by gale-force winds, this staff radiates a palpable, painful cold."
Perennial Cranium,"A flora-infested skull from one of Belladonna’s victims. It exchanges the life force it steals into plant life, blooming powerful vegetation. Sprite Credits: TLMaelstrom"
Hanagasaku,"Bloomed from Belladonna’s Garden, this plant has grown into a lethal weapon through its disc shape and exceptionally sharp petals. Its seeds fly off when thrown, quickly spreading itself through the surrounding area. Sprite Credits: TLMaelstrom"
Gem of Tenderness,"Only until you find true love, will you know what sweet tenderness feels like. Sprite Credits: Trensient"
Gem of Adoration,Dedicated to the one who will see beauty within. Sprite Credits: Trensient
Soulful Affection,To my better half! Sprite Credits: Trensient
Heart of Gold Prism,It’s said that love lasts three years… this angel didn’t get the memo. Sprite Credits: Lovens
Solar Flare Igniter,An ancient focus used to channel the raw intensity of a solar flare. It emits a concentrated beam of heat so pure it can slice through steel plates as if they were cooling embers.
Crest of the Rising Sun,"A recurve bow carved from the golden feathers of a fledgling phoenix. Its potential for destruction is vast, though it demands the steady focus of a heart in perfect harmony with the sun."
Bloom-Fire Scepter,"A staff adorned with enchanted petals that never wilt. Once used by the Solar Monarch to command the waves of heat during the Great Bloom, its brilliance has softened into a gentle, rhythmic glow."
Ashen Talon Dagger,
Sovereign Cinder-Blade,"A massive, heavy blade forged in the heart of a dying star. It embodies the stoic might of the phoenix’s rebirth, though its immense weight and heat tax the physical strength of any who swing it."
Blade of Eternal Rebirth,"Infused with holy solar magic, this sword’s edge vibrates with the energy of a thousand dawnings. It is designed to slash with a purifying flame that no worldly shield can hope to withstand."
Heart of the Eternal Pyre,"A pulsating ruby encased in a band of white gold that grows warm when danger nears. It grants the wearer the resilience of the phoenix, allowing their spirit to flicker but never truly go out as long as the sun continues to rise."
Flying Eyeball Pet Skin,
Corrupted Tinkerer Pet Skin,
Prismatic Slasher,A vibrant blade brimming with the majesty and energy of double rainbows. Sprite Credits: Aurum
Rainbow Rod,Use this to blast your enemies with an endless stream of light! Sprite Credits: Aurum
Staff of the Saint,"A lucky green staff complete with a crystallized clover, though only a real leprechaun could exercise its full power. Sprite Credits: Aurum"
Sword of the Rainbow's End,"Colorful and fashionable, but not very good for hunting monsters. Sprite Credits: Beige"
Clover Bow,Good thing this bow is lucky because it sure doesn’t hit very hard! Sprite Credits: Beige
Katana of Good Fortune,Create your own rainbow! Sprite Credits: Aurum
Painbow,"A trap of solid light, pummeling your foes more vividly than ever before! Sprite Credits: Dappertron"
Clover Star,Use that clover to impress the ladies. Sprite Credits: Aurum
Miss Shamrock Wizard Skin,
Leprechaun's Walking Hat Pet Skin,
Green Hat Bunny Pet Skin,
Mini Pot of Gold Pet Skin,
Incubation Mace,"Easter celebrations call for eggs, but Oryx’s strict regulations on anything that might be a chicken makes eggs risky. This mace mimics the functions of an egg to summon pre-grown rabbits, with exactly the personality you’d expect from an animal raised by a weapon."
Crystal Key,"A mysterious key bestowed upon the Keyper by the Crystal Entity, imbued with an aura of forbidden magic. It fits no locks, yet it can open anything. Sprite Credits: Trensient"
Keychain Cutlass,"A magical chain of infinite keys capable of unlocking the secrets of the universe, though your mileage may vary. Not to be confused with a different key-related blade. Sprite Credits: Aurum"
Ornaments of Unity,"A majestic chain of ornaments, each holding astounding powers. If paired with enough essence of Oryxmas, it will gift the most righteous of hearts the absolute power of the winter. Sprite Credits: Aurum"
Eternal Echo,"While the majority of the Disciples of Cronus generally favored lighter weaponry, a scant few could be found wielding massive blades of immense weight and equal power."
Eden's Embrace,"The empyreans thought otherwise, but I would not remain sealed. For my embrace reaches the whole Realm, and my will is eternity."
Nightmatter Circlet,"An immaculate Nightmatter Core set in a housing that acts as a conduit granting power to its wearer, the power grows even stronger in the presence of additional nightmatter."

Mithril Sword,"An extremely sharp sword made from the strongest and most desirable of all metals."
Dagger of the Malevolent Fool,"Muha… muhaha… It’s just a reskin… you fool!"
Leave Bow,"Why don’t you try throwing a leave?"
Ring of Overwhelming Health,"An extremely powerful ring, but its creator definitely went over budget on the topaz."
Bow of Surface Level Enchantment,"It’s enchanted, but rather sloppily"
Mood Bow,"It changes colors based on your mood. Really, you just have to wait a bit!"
Reasonable Hour Star,"A legendary shuriken that goes to bed early and gets a good eight hours of sleep."
Bottled Medusa,"Tosses a friendly Medusa"
Nice Crown,"It’s nice."
Non-Fungible Tome,"It has no effect, but if you have one then you have one."
Luminaire,"A complete lighting unit!"
Inferior,"Honestly, there are better staves."





